node_id,parent_id,node_type,title,level,display_order
TU05_05_01,TU05_05,subtopic,Cerebrum vs Cerebellum vs Medulla oblongata,5,1
TU05_05_02,TU05_05,subtopic,Location,5,2
TU05_05_03,TU05_05,subtopic,Structural features,5,3
TU05_05_04,TU05_05,subtopic,Main functions,5,4
TU06,NC,teachable_unit,Teachable Unit 06 — Spinal Cord,3,5
TU06_01,TU06,topic,Location,4,1
TU06_02,TU06,topic,Relationship with the medulla oblongata,4,2
TU06_03,TU06,topic,Relationship with the vertebral column,4,3
TU06_04,TU06,topic,Protection,4,4
TU06_05,TU06,topic,Cross-section of the spinal cord,4,5
TU06_06,TU06,topic,White matter,4,6
TU06_07,TU06,topic,Grey matter,4,7
TU06_08,TU06,topic,Central canal,4,8
TU06_09,TU06,topic,Spinal nerves,4,9
TU07,NC,teachable_unit,Teachable Unit 07 — Reflex Action,3,6
TU07_01,TU07,topic,Why rapid protective responses are needed,4,1
TU07_02,TU07,topic,Meaning of reflex action,4,2
TU07_03,TU07,topic,Reflex arc as the functional unit of the nervous system,4,3
TU07_04,TU07,topic,Reflex pathway,4,4
TU07_04_01,TU07_04,subtopic,Stimulus,5,1
TU07_04_02,TU07_04,subtopic,Receptor,5,2
TU07_04_03,TU07_04,subtopic,Sensory neuron,5,3
TU07_04_04,TU07_04,subtopic,Interneuron,5,4
TU07_04_05,TU07_04,subtopic,Motor neuron,5,5
TU07_04_06,TU07_04,subtopic,Effector,5,6
TU07_04_07,TU07_04,subtopic,Response,5,7
TU07_05,TU07,topic,Structural unit vs functional unit,4,5
TU07_05_01,TU07_05,subtopic,Neuron = structural unit,5,1
TU07_05_02,TU07_05,subtopic,Reflex arc = functional unit,5,2
TU07_06,TU07,topic,Types of reflex actions,4,6
TU07_06_01,TU07_06,subtopic,Spinal reflexes,5,1
TU07_06_02,TU07_06,subtopic,Cranial reflexes,5,2
TU07_07,TU07,topic,Examples and comparison,4,7
TU08,NC,teachable_unit,Teachable Unit 08 — Autonomic Nervous System,3,7
TU08_01,TU08,topic,Need for involuntary control,4,1
TU08_02,TU08,topic,Internal organs controlled by the autonomic nervous system,4,2
TU08_03,TU08,topic,Coordinating centres,4,3
TU08_04,TU08,topic,Two divisions,4,4
TU08_04_01,TU08_04,subtopic,Sympathetic nervous system,5,1
TU08_04_02,TU08_04,subtopic,Parasympathetic nervous system,5,2
TU08_05,TU08,topic,Sympathetic system and fight-or-flight response,4,5
TU08_06,TU08,topic,Parasympathetic system and restoration toward normal state,4,6
TU08_07,TU08,topic,Opposite effects of the two systems,4,7
TU08_08,TU08,topic,Comparison of sympathetic and parasympathetic responses,4,8
